,index,titelId,title,averageRating,numVotes
373,388,tt0000999,'Paul Wangs skbne',5.4,5
374,389,tt0001000,'The Peachbasket Hat',5.1,24
375,391,tt0001002,'The Politician\'s Love Story',4.9,74
376,392,tt0001008,'The Prince and the Pauper',5.2,9
377,394,tt0001011,'The Prussian Spy',4.7,6
378,395,tt0001013,'The Redman\'s View',5.9,317
379,396,tt0001014,'The Renunciation',5.1,87
380,397,tt0001016,Resurrection,5.6,89
381,398,tt0001032,'The Sealed Room',6.0,751
382,399,tt0001044,'The Son\'s Return',5.6,81
383,400,tt0001045,'Le songe d\'une nuit d\'t',5.4,8
384,401,tt0001049,Gngehvdingen,3.2,8
385,402,tt0001062,'Those Awful Hats',6.2,1078
386,403,tt0001065,'Tis an Ill Wind That Blows No Good',4.8,6
387,404,tt0001066,'De to guldgravere',4.3,7
388,405,tt0001072,'A Trap for Santa Claus',5.6,283
389,406,tt0001083,'The Violin Maker of Cremona',5.0,103
390,407,tt0001084,'The Voice of the Violin',5.1,139
391,408,tt0001091,'What Drink Did',5.5,159
392,409,tt0001101,'Abraham Lincoln\'s Clemency',5.2,13
393,410,tt0001105,Afgrunden,6.4,790
394,411,tt0001106,'Alice\'s Adventures in Wonderland',6.2,85
395,412,tt0001112,Amleto,3.7,20
396,413,tt0001116,'Ansigttyven II',4.9,9
397,414,tt0001117,Cloptre,5.5,8
398,415,tt0001118,'An Arcadian Maid',5.5,134
399,416,tt0001120,'As It Is in Life',5.7,161
400,417,tt0001122,'L\'auberge rouge',5.3,7
401,418,tt0001129,'The Banker\'s Daughters',5.0,15
402,419,tt0001145,Carceleras,5.0,6
403,420,tt0001150,'A Child of the Ghetto',5.4,67
404,421,tt0001175,'La dame aux camlias',5.8,22
405,422,tt0001185,'Dorian Grays Portrt',7.0,14
406,423,tt0001186,'Dorothy and the Scarecrow in Oz',5.5,47
407,424,tt0001207,Faithful,5.8,89
408,425,tt0001211,Faust,5.5,30
409,426,tt0001216,'The Final Settlement',4.6,8
410,427,tt0001217,'A Flash of Light',5.8,50
411,428,tt0001218,'L\'pe du spirite',5.3,83
412,429,tt0001223,Frankenstein,6.4,3720
413,430,tt0001227,'The Fugitive',5.8,199
414,431,tt0001235,'A Gold Necklace',5.0,23
415,432,tt0001237,'The Golden Supper',4.7,32
416,433,tt0001245,'Her Terrible Ordeal',5.7,46
417,434,tt0001256,'The House with Closed Shutters',5.9,469
418,435,tt0001258,'Den hvide slavehandel',5.8,96
419,436,tt0001265,'In the Border States',6.4,462
420,437,tt0001280,'Kbenhavn ved Nat',4.7,19
421,438,tt0001284,'The Lesson',5.1,27
422,439,tt0001285,'The Life of Moses',5.3,28
423,440,tt0001292,'Love Among the Roses',4.9,39
424,441,tt0001299,Macbeth,4.2,8
425,442,tt0001306,'Le marchand d\'images',4.2,6
426,443,tt0001314,'Il mercante di Venezia',5.8,141
427,444,tt0001321,'The Cowboy Millionaire',5.1,29
428,445,tt0001326,'The Modern Prodigal',5.7,38
429,447,tt0001332,'Muggsy Becomes a Hero',5.4,14
430,448,tt0001337,'The Newlyweds',5.8,31
431,450,tt0001340,'The Oath and the Man',5.1,77
432,451,tt0001351,'Over Silent Paths',6.2,42
433,452,tt0001358,'Peder Tordenskjold',4.2,14
434,453,tt0001371,Ramona,6.0,358
435,454,tt0001377,'Re Lear',4.8,20
436,455,tt0001378,'Re Lear',5.9,189
437,456,tt0001380,'Regina von Emmeritz och konung Gustaf II Adolf',3.2,6
438,457,tt0001381,'En rekrut fra 64',5.6,25
439,458,tt0001386,'Le roi des parfums',4.6,7
440,459,tt0001388,'Rose o\' Salem Town',5.7,63
441,460,tt0001396,'Simple Charity',2.9,7
442,461,tt0001400,'The Song of the Wildwood Flute',5.9,9
443,462,tt0001423,'A Woman\'s Treachery',4.1,10
444,463,tt0001428,'The Two Brothers',5.2,34
445,464,tt0001431,'The Unchanging Sea',6.4,643
