,title,averageRating,numVotes,id,revenue,release_date,percent_of_max_revenue,percent_of_max_review
257,'The Return of the Living Dead',7.3,54628,10925,14237000.0,1985-05-15,0.73,0.009369172379879883
348,'Young Guns',6.9,54575,11967,44726644.0,1988-08-12,0.6900000000000001,0.029433984519879205
253,'Pale Rider',7.3,52990,8879,41410568.0,1985-06-28,0.73,0.02725172086399787
417,'The Legend of Hercules',4.2,52591,188207,61279452.0,2014-01-10,0.42000000000000004,0.0403271580482247
462,'Free State of Jones',6.9,52482,316152,25035950.0,2016-06-24,0.6900000000000001,0.016475811704997803
333,'The Last Temptation of Christ',7.5,52278,11051,8373585.0,1988-08-12,0.75,0.005510540233376167
99,'The Longest Day',7.8,52138,9289,50100000.0,1962-09-25,0.78,0.032970115630538886
498,'Away We Go',7.0,51814,19255,14899417.0,2009-06-05,0.7,0.009805099826698938
273,'The Golden Child',6.0,51474,10136,79817939.0,1986-12-12,0.6,0.052527079405614754
231,'Red Dawn',6.4,51229,1880,38376497.0,1984-08-10,0.64,0.025255040790120333
